,POTENCIA1 (cv),PUERTAS,PRECIO,Emisiones CO2 (gr/km),Autonomía (km),Consumo (l/100km),Garantía (meses),Motor (cc),Capacidad depósito (lts),N° marchas,Velocidad Máxima (km/h),Aceleración (0-100 km) (s),Revoluciones Potencia Máxima (rpm),Par motor (Nm),Peso (kg),Largo (mm),Ancho (mm),Alto (mm),Volume,RShape,BRAND_Abarth,BRAND_Alfa Romeo,BRAND_Aston Martin,BRAND_Audi,BRAND_Bmw,BRAND_Citroen,BRAND_Cupra,BRAND_Dacia,BRAND_Ds,BRAND_Fiat,BRAND_Ford,BRAND_Honda,BRAND_Hyundai,BRAND_Jaguar,BRAND_Jeep,BRAND_Kia,BRAND_Land Rover,BRAND_Lexus,BRAND_Maserati,BRAND_Mazda,BRAND_Mercedes,BRAND_Mini,BRAND_Mitsubishi,BRAND_Morgan,BRAND_Nissan,BRAND_Opel,BRAND_Peugeot,BRAND_Porsche,BRAND_Renault,BRAND_Seat,BRAND_Skoda,BRAND_Smart,BRAND_Ssangyong,BRAND_Subaru,BRAND_Suzuki,BRAND_Toyota,BRAND_Volkswagen,BRAND_Volvo,COMBUSTIBLE_Diesel,COMBUSTIBLE_Eléctrico|Corriente eléctrica ,COMBUSTIBLE_Gasolina,COMBUSTIBLE_Gasolina|Gasolina/gas ,COMBUSTIBLE_Gasolina|Hidrogeno ,COMBUSTIBLE_Híbrido|Diesel y corriente eléctrica ,COMBUSTIBLE_Híbrido|Gasolina y corriente eléctrica ,CO2_ambar,CO2_gris,CO2_rojo,CO2_verde,Tracción_Todo terreno tracción total conectable ,Tracción_Todo terreno tracción total permanente ,Tracción_Tracción delantera ,Tracción_Tracción total conectable ,Tracción_Tracción total permanente ,Tracción_Tracción trasera ,Transmisión_Automática ,Transmisión_Automática continua ,"Transmisión_Automática continua, secuencial ",Transmisión_Automática secuencial ,"Transmisión_Directo, sin caja de cambios ",Transmisión_Manual ,Transmisión_Manual automatizada ,Transmisión_Manual con subgrupos ,Transmisión_Tipo de caja de cambios ,Carrocería_Berlina ,Carrocería_Bus ,Carrocería_Chasis ,Carrocería_Chasis Doble Cabina ,Carrocería_Combi ,Carrocería_Convertible ,Carrocería_Coupe ,Carrocería_Furgon ,Carrocería_Monovolumen ,Carrocería_Pick-Up ,Carrocería_Pick-Up Doble Cabina ,Carrocería_Roadster ,Carrocería_Stationwagon ,Carrocería_Targa ,Carrocería_Todo Terreno 
20,160,4.0,34075,126.0,1106.4,4.7,24.0,2143.0,52.0,8.0,220.0,8.2,3250.0,450.0,1465.0,4643.0,1860.0,1438.0,1.241853924,0.30971354727546846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,200,4.0,34954,144.0,906.3,6.4,24.0,1995.0,58.0,8.0,230.0,6.6,4500.0,330.0,1429.0,4643.0,1860.0,1438.0,1.241853924,0.30971354727546846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,200,4.0,39398,144.0,906.3,6.4,24.0,1995.0,58.0,8.0,230.0,6.6,4500.0,330.0,1429.0,4643.0,1860.0,1438.0,1.241853924,0.30971354727546846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,190,4.0,39838,127.0,1130.4,4.6,24.0,2143.0,52.0,8.0,230.0,7.1,3500.0,450.0,1465.0,4643.0,1860.0,1438.0,1.241853924,0.30971354727546846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,210,4.0,45642,137.0,1000.0,5.2,24.0,2143.0,52.0,8.0,235.0,6.8,3500.0,470.0,1540.0,4643.0,1860.0,1438.0,1.241853924,0.30971354727546846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,280,4.0,48141,154.0,840.6,6.9,24.0,1995.0,58.0,8.0,240.0,5.2,5250.0,400.0,1530.0,4650.0,1860.0,1438.0,1.2437262,0.309247311827957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,510,4.0,97499,206.0,630.4,9.2,24.0,2891.0,58.0,8.0,307.0,3.9,6500.0,600.0,1620.0,4643.0,1860.0,1438.0,1.241853924,0.30971354727546846,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,120,5.0,17946,159.0,833.3,7.2,24.0,1368.0,60.0,6.0,195.0,9.4,5000.0,215.0,1280.0,4351.0,1798.0,1465.0,1.146083857,0.3367042059296713,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,120,5.0,24432,118.0,1276.6,4.7,24.0,1598.0,60.0,6.0,195.0,10.0,3750.0,320.0,1390.0,4351.0,1798.0,1465.0,1.146083857,0.3367042059296713,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,160,5.0,35633,138.0,1115.4,5.2,30.874809160305343,2143.0,58.0,8.0,198.0,8.8,3750.0,450.0,1660.0,4687.0,1902.0,1632.0,1.4548747968,0.34819714102837634,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
